Year,Month,County,Registration type,Engine type,Car registration count
2019,January,Galway,New Irish Registrations,Non electric,"1,173"
2019,February,Galway,New Irish Registrations,Non electric,487
2019,March,Galway,New Irish Registrations,Non electric,482
2019,April,Galway,New Irish Registrations,Non electric,200
2019,May,Galway,New Irish Registrations,Non electric,147
2019,June,Galway,New Irish Registrations,Non electric,17
2019,July,Galway,New Irish Registrations,Non electric,763
2019,August,Galway,New Irish Registrations,Non electric,165
2019,September,Galway,New Irish Registrations,Non electric,112
2019,October,Galway,New Irish Registrations,Non electric,66
2019,July,Galway,New Imports,Non electric,1
2019,January,Galway,Used Imports,Non electric,503
2019,February,Galway,Used Imports,Non electric,472
2019,March,Galway,Used Imports,Non electric,516
2019,April,Galway,Used Imports,Non electric,456
2019,May,Galway,Used Imports,Non electric,507
2019,June,Galway,Used Imports,Non electric,465
2019,July,Galway,Used Imports,Non electric,471
2019,August,Galway,Used Imports,Non electric,507
2019,September,Galway,Used Imports,Non electric,586
2019,October,Galway,Used Imports,Non electric,603
2019,January,Galway,New Irish Registrations,Electric,30
2019,February,Galway,New Irish Registrations,Electric,12
2019,March,Galway,New Irish Registrations,Electric,9
2019,April,Galway,New Irish Registrations,Electric,7
2019,May,Galway,New Irish Registrations,Electric,6
2019,July,Galway,New Irish Registrations,Electric,34
2019,August,Galway,New Irish Registrations,Electric,5
2019,September,Galway,New Irish Registrations,Electric,3
2019,October,Galway,New Irish Registrations,Electric,6
2019,January,Galway,Used Imports,Electric,3
2019,February,Galway,Used Imports,Electric,5
2019,March,Galway,Used Imports,Electric,1
2019,April,Galway,Used Imports,Electric,1
2019,May,Galway,Used Imports,Electric,2
2019,June,Galway,Used Imports,Electric,4
2019,July,Galway,Used Imports,Electric,2
2019,August,Galway,Used Imports,Electric,3
2019,September,Galway,Used Imports,Electric,1
2019,October,Galway,Used Imports,Electric,6
2019,January,Galway,New Irish Registrations,Hybrid,129
2019,February,Galway,New Irish Registrations,Hybrid,80
2019,March,Galway,New Irish Registrations,Hybrid,69
2019,April,Galway,New Irish Registrations,Hybrid,57
2019,May,Galway,New Irish Registrations,Hybrid,31
2019,June,Galway,New Irish Registrations,Hybrid,5
2019,July,Galway,New Irish Registrations,Hybrid,126
2019,August,Galway,New Irish Registrations,Hybrid,19
2019,September,Galway,New Irish Registrations,Hybrid,11
2019,October,Galway,New Irish Registrations,Hybrid,14
2019,January,Galway,Used Imports,Hybrid,27
2019,February,Galway,Used Imports,Hybrid,24
2019,March,Galway,Used Imports,Hybrid,28
2019,April,Galway,Used Imports,Hybrid,31
2019,May,Galway,Used Imports,Hybrid,37
2019,June,Galway,Used Imports,Hybrid,22
2019,July,Galway,Used Imports,Hybrid,22
2019,August,Galway,Used Imports,Hybrid,26
2019,September,Galway,Used Imports,Hybrid,36
2019,October,Galway,Used Imports,Hybrid,27
2019,January,Leitrim,New Irish Registrations,Non electric,116
2019,February,Leitrim,New Irish Registrations,Non electric,32
2019,March,Leitrim,New Irish Registrations,Non electric,55
2019,April,Leitrim,New Irish Registrations,Non electric,22
2019,May,Leitrim,New Irish Registrations,Non electric,12
2019,June,Leitrim,New Irish Registrations,Non electric,7
2019,July,Leitrim,New Irish Registrations,Non electric,72
2019,August,Leitrim,New Irish Registrations,Non electric,15
2019,September,Leitrim,New Irish Registrations,Non electric,11
2019,October,Leitrim,New Irish Registrations,Non electric,4
2019,January,Leitrim,New Imports,Non electric,1
2019,March,Leitrim,New Imports,Non electric,1
2019,January,Leitrim,Used Imports,Non electric,76
2019,February,Leitrim,Used Imports,Non electric,73
2019,March,Leitrim,Used Imports,Non electric,76
2019,April,Leitrim,Used Imports,Non electric,65
2019,May,Leitrim,Used Imports,Non electric,79
2019,June,Leitrim,Used Imports,Non electric,61
2019,July,Leitrim,Used Imports,Non electric,62
2019,August,Leitrim,Used Imports,Non electric,65
2019,September,Leitrim,Used Imports,Non electric,62
2019,October,Leitrim,Used Imports,Non electric,82
2019,January,Leitrim,New Irish Registrations,Electric,4
2019,March,Leitrim,New Irish Registrations,Electric,1
2019,April,Leitrim,New Irish Registrations,Electric,3
2019,May,Leitrim,New Irish Registrations,Electric,1
2019,September,Leitrim,New Irish Registrations,Electric,1
2019,January,Leitrim,New Irish Registrations,Hybrid,7
2019,February,Leitrim,New Irish Registrations,Hybrid,6
2019,March,Leitrim,New Irish Registrations,Hybrid,2
2019,April,Leitrim,New Irish Registrations,Hybrid,4
2019,May,Leitrim,New Irish Registrations,Hybrid,2
2019,June,Leitrim,New Irish Registrations,Hybrid,2
2019,July,Leitrim,New Irish Registrations,Hybrid,7
2019,August,Leitrim,New Irish Registrations,Hybrid,4
2019,January,Leitrim,Used Imports,Hybrid,1
2019,February,Leitrim,Used Imports,Hybrid,4
2019,March,Leitrim,Used Imports,Hybrid,2
2019,May,Leitrim,Used Imports,Hybrid,1
2019,July,Leitrim,Used Imports,Hybrid,2
2019,August,Leitrim,Used Imports,Hybrid,1
2019,January,Mayo,New Irish Registrations,Non electric,590
2019,February,Mayo,New Irish Registrations,Non electric,242
2019,March,Mayo,New Irish Registrations,Non electric,212
2019,April,Mayo,New Irish Registrations,Non electric,69
2019,May,Mayo,New Irish Registrations,Non electric,55
2019,June,Mayo,New Irish Registrations,Non electric,7
2019,July,Mayo,New Irish Registrations,Non electric,354
2019,August,Mayo,New Irish Registrations,Non electric,97
2019,September,Mayo,New Irish Registrations,Non electric,44
2019,October,Mayo,New Irish Registrations,Non electric,22
2019,July,Mayo,New Imports,Non electric,1
2019,January,Mayo,Used Imports,Non electric,226
2019,February,Mayo,Used Imports,Non electric,223
2019,March,Mayo,Used Imports,Non electric,223
2019,April,Mayo,Used Imports,Non electric,230
2019,May,Mayo,Used Imports,Non electric,271
2019,June,Mayo,Used Imports,Non electric,209
2019,July,Mayo,Used Imports,Non electric,249
2019,August,Mayo,Used Imports,Non electric,258
2019,September,Mayo,Used Imports,Non electric,276
2019,October,Mayo,Used Imports,Non electric,338
2019,January,Mayo,New Irish Registrations,Electric,14
2019,February,Mayo,New Irish Registrations,Electric,2
2019,March,Mayo,New Irish Registrations,Electric,3
2019,April,Mayo,New Irish Registrations,Electric,4
2019,May,Mayo,New Irish Registrations,Electric,1
2019,July,Mayo,New Irish Registrations,Electric,5
2019,August,Mayo,New Irish Registrations,Electric,2
2019,September,Mayo,New Irish Registrations,Electric,1
2019,October,Mayo,New Irish Registrations,Electric,1
2019,January,Mayo,Used Imports,Electric,2
2019,July,Mayo,Used Imports,Electric,1
2019,August,Mayo,Used Imports,Electric,1
2019,October,Mayo,Used Imports,Electric,2
2019,January,Mayo,New Irish Registrations,Hybrid,41
2019,February,Mayo,New Irish Registrations,Hybrid,38
2019,March,Mayo,New Irish Registrations,Hybrid,32
2019,April,Mayo,New Irish Registrations,Hybrid,29
2019,May,Mayo,New Irish Registrations,Hybrid,5
2019,July,Mayo,New Irish Registrations,Hybrid,37
2019,August,Mayo,New Irish Registrations,Hybrid,8
2019,September,Mayo,New Irish Registrations,Hybrid,6
2019,October,Mayo,New Irish Registrations,Hybrid,5
2019,January,Mayo,Used Imports,Hybrid,8
2019,February,Mayo,Used Imports,Hybrid,9
2019,March,Mayo,Used Imports,Hybrid,4
2019,April,Mayo,Used Imports,Hybrid,4
2019,May,Mayo,Used Imports,Hybrid,4
2019,June,Mayo,Used Imports,Hybrid,3
2019,July,Mayo,Used Imports,Hybrid,8
2019,August,Mayo,Used Imports,Hybrid,15
2019,September,Mayo,Used Imports,Hybrid,6
2019,October,Mayo,Used Imports,Hybrid,12
2019,January,Roscommon,New Irish Registrations,Non electric,290
2019,February,Roscommon,New Irish Registrations,Non electric,87
2019,March,Roscommon,New Irish Registrations,Non electric,101
2019,April,Roscommon,New Irish Registrations,Non electric,50
2019,May,Roscommon,New Irish Registrations,Non electric,22
2019,June,Roscommon,New Irish Registrations,Non electric,7
2019,July,Roscommon,New Irish Registrations,Non electric,147
2019,August,Roscommon,New Irish Registrations,Non electric,37
2019,September,Roscommon,New Irish Registrations,Non electric,17
2019,October,Roscommon,New Irish Registrations,Non electric,9
2019,January,Roscommon,New Imports,Non electric,1
2019,January,Roscommon,Used Imports,Non electric,141
2019,February,Roscommon,Used Imports,Non electric,128
2019,March,Roscommon,Used Imports,Non electric,126
2019,April,Roscommon,Used Imports,Non electric,105
2019,May,Roscommon,Used Imports,Non electric,130
2019,June,Roscommon,Used Imports,Non electric,115
2019,July,Roscommon,Used Imports,Non electric,127
2019,August,Roscommon,Used Imports,Non electric,157
2019,September,Roscommon,Used Imports,Non electric,107
2019,October,Roscommon,Used Imports,Non electric,141
2019,January,Roscommon,New Irish Registrations,Electric,7
2019,February,Roscommon,New Irish Registrations,Electric,2
2019,July,Roscommon,New Irish Registrations,Electric,5
2019,October,Roscommon,New Irish Registrations,Electric,2
2019,January,Roscommon,Used Imports,Electric,1
2019,February,Roscommon,Used Imports,Electric,1
2019,March,Roscommon,Used Imports,Electric,1
2019,August,Roscommon,Used Imports,Electric,1
2019,October,Roscommon,Used Imports,Electric,1
2019,January,Roscommon,New Irish Registrations,Hybrid,26
2019,February,Roscommon,New Irish Registrations,Hybrid,20
2019,March,Roscommon,New Irish Registrations,Hybrid,31
2019,April,Roscommon,New Irish Registrations,Hybrid,26
2019,May,Roscommon,New Irish Registrations,Hybrid,4
2019,June,Roscommon,New Irish Registrations,Hybrid,1
2019,July,Roscommon,New Irish Registrations,Hybrid,28
2019,August,Roscommon,New Irish Registrations,Hybrid,4
2019,September,Roscommon,New Irish Registrations,Hybrid,2
2019,October,Roscommon,New Irish Registrations,Hybrid,2
2019,January,Roscommon,Used Imports,Hybrid,1
2019,February,Roscommon,Used Imports,Hybrid,1
2019,April,Roscommon,Used Imports,Hybrid,1
2019,June,Roscommon,Used Imports,Hybrid,1
2019,July,Roscommon,Used Imports,Hybrid,4
2019,August,Roscommon,Used Imports,Hybrid,3
2019,September,Roscommon,Used Imports,Hybrid,1
2019,October,Roscommon,Used Imports,Hybrid,3
2019,January,Sligo,New Irish Registrations,Non electric,317
2019,February,Sligo,New Irish Registrations,Non electric,109
2019,March,Sligo,New Irish Registrations,Non electric,134
2019,April,Sligo,New Irish Registrations,Non electric,42
2019,May,Sligo,New Irish Registrations,Non electric,31
2019,June,Sligo,New Irish Registrations,Non electric,3
2019,July,Sligo,New Irish Registrations,Non electric,208
2019,August,Sligo,New Irish Registrations,Non electric,37
2019,September,Sligo,New Irish Registrations,Non electric,22
2019,October,Sligo,New Irish Registrations,Non electric,18
2019,January,Sligo,Used Imports,Non electric,108
2019,February,Sligo,Used Imports,Non electric,118
2019,March,Sligo,Used Imports,Non electric,97
2019,April,Sligo,Used Imports,Non electric,105
2019,May,Sligo,Used Imports,Non electric,138
2019,June,Sligo,Used Imports,Non electric,87
2019,July,Sligo,Used Imports,Non electric,123
2019,August,Sligo,Used Imports,Non electric,126
2019,September,Sligo,Used Imports,Non electric,122
2019,October,Sligo,Used Imports,Non electric,128
2019,January,Sligo,New Irish Registrations,Electric,4
2019,February,Sligo,New Irish Registrations,Electric,3
2019,March,Sligo,New Irish Registrations,Electric,1
2019,April,Sligo,New Irish Registrations,Electric,2
2019,May,Sligo,New Irish Registrations,Electric,1
2019,July,Sligo,New Irish Registrations,Electric,6
2019,August,Sligo,New Irish Registrations,Electric,2
2019,September,Sligo,New Irish Registrations,Electric,1
2019,October,Sligo,New Irish Registrations,Electric,1
2019,January,Sligo,Used Imports,Electric,2
2019,February,Sligo,Used Imports,Electric,1
2019,March,Sligo,Used Imports,Electric,1
2019,April,Sligo,Used Imports,Electric,1
2019,May,Sligo,Used Imports,Electric,1
2019,August,Sligo,Used Imports,Electric,1
2019,January,Sligo,New Irish Registrations,Hybrid,29
2019,February,Sligo,New Irish Registrations,Hybrid,12
2019,March,Sligo,New Irish Registrations,Hybrid,9
2019,April,Sligo,New Irish Registrations,Hybrid,19
2019,May,Sligo,New Irish Registrations,Hybrid,7
2019,June,Sligo,New Irish Registrations,Hybrid,5
2019,July,Sligo,New Irish Registrations,Hybrid,19
2019,August,Sligo,New Irish Registrations,Hybrid,4
2019,September,Sligo,New Irish Registrations,Hybrid,1
2019,October,Sligo,New Irish Registrations,Hybrid,1
2019,January,Sligo,Used Imports,Hybrid,2
2019,February,Sligo,Used Imports,Hybrid,2
2019,March,Sligo,Used Imports,Hybrid,5
2019,April,Sligo,Used Imports,Hybrid,6
2019,May,Sligo,Used Imports,Hybrid,2
2019,June,Sligo,Used Imports,Hybrid,3
2019,July,Sligo,Used Imports,Hybrid,5
2019,August,Sligo,Used Imports,Hybrid,1
2019,September,Sligo,Used Imports,Hybrid,6
2019,October,Sligo,Used Imports,Hybrid,4
2019,January,Carlow,New Irish Registrations,Non electric,369
2019,February,Carlow,New Irish Registrations,Non electric,124
2019,March,Carlow,New Irish Registrations,Non electric,154
2019,April,Carlow,New Irish Registrations,Non electric,68
2019,May,Carlow,New Irish Registrations,Non electric,45
2019,June,Carlow,New Irish Registrations,Non electric,3
2019,July,Carlow,New Irish Registrations,Non electric,240
2019,August,Carlow,New Irish Registrations,Non electric,41
2019,September,Carlow,New Irish Registrations,Non electric,34
2019,October,Carlow,New Irish Registrations,Non electric,7
2019,January,Carlow,Used Imports,Non electric,82
2019,February,Carlow,Used Imports,Non electric,79
2019,March,Carlow,Used Imports,Non electric,77
2019,April,Carlow,Used Imports,Non electric,89
2019,May,Carlow,Used Imports,Non electric,74
2019,June,Carlow,Used Imports,Non electric,81
2019,July,Carlow,Used Imports,Non electric,66
2019,August,Carlow,Used Imports,Non electric,66
2019,September,Carlow,Used Imports,Non electric,86
2019,October,Carlow,Used Imports,Non electric,102
2019,January,Carlow,New Irish Registrations,Electric,16
2019,February,Carlow,New Irish Registrations,Electric,1
2019,March,Carlow,New Irish Registrations,Electric,2
2019,April,Carlow,New Irish Registrations,Electric,3
2019,May,Carlow,New Irish Registrations,Electric,2
2019,July,Carlow,New Irish Registrations,Electric,12
2019,August,Carlow,New Irish Registrations,Electric,2
2019,October,Carlow,New Irish Registrations,Electric,1
2019,January,Carlow,Used Imports,Electric,1
2019,October,Carlow,Used Imports,Electric,1
2019,January,Carlow,New Irish Registrations,Hybrid,25
2019,February,Carlow,New Irish Registrations,Hybrid,12
2019,March,Carlow,New Irish Registrations,Hybrid,35
2019,April,Carlow,New Irish Registrations,Hybrid,7
2019,May,Carlow,New Irish Registrations,Hybrid,4
2019,July,Carlow,New Irish Registrations,Hybrid,29
2019,August,Carlow,New Irish Registrations,Hybrid,7
2019,September,Carlow,New Irish Registrations,Hybrid,1
2019,October,Carlow,New Irish Registrations,Hybrid,3
2019,January,Carlow,Used Imports,Hybrid,3
2019,February,Carlow,Used Imports,Hybrid,5
2019,March,Carlow,Used Imports,Hybrid,2
2019,April,Carlow,Used Imports,Hybrid,6
2019,May,Carlow,Used Imports,Hybrid,2
2019,June,Carlow,Used Imports,Hybrid,1
2019,July,Carlow,Used Imports,Hybrid,7
2019,August,Carlow,Used Imports,Hybrid,2
2019,September,Carlow,Used Imports,Hybrid,1
2019,October,Carlow,Used Imports,Hybrid,5
2019,January,Dublin,New Irish Registrations,Non electric,3
2019,February,Dublin,New Irish Registrations,Non electric,5
2019,March,Dublin,New Irish Registrations,Non electric,2
2019,April,Dublin,New Irish Registrations,Non electric,6
2019,May,Dublin,New Irish Registrations,Non electric,2
2019,June,Dublin,New Irish Registrations,Non electric,1
2019,July,Dublin,New Irish Registrations,Non electric,7
2019,August,Dublin,New Irish Registrations,Non electric,2
2019,September,Dublin,New Irish Registrations,Non electric,"1,453"
2019,October,Dublin,New Irish Registrations,Non electric,867
2019,January,Dublin,New Imports,Non electric,"10,163"
2019,February,Dublin,New Imports,Non electric,"5,851"
2019,March,Dublin,New Imports,Non electric,"6,866"
2019,April,Dublin,New Imports,Non electric,"3,928"
2019,May,Dublin,New Imports,Non electric,"3,230"
2019,June,Dublin,New Imports,Non electric,848
2019,July,Dublin,New Imports,Non electric,"10,081"
2019,August,Dublin,New Imports,Non electric,"1,989"
2019,September,Dublin,New Imports,Non electric,"1,453"
2019,October,Dublin,New Imports,Non electric,867
2019,January,Dublin,Used Imports,Non electric,"10,163"
2019,February,Dublin,Used Imports,Non electric,"5,851"
2019,March,Dublin,Used Imports,Non electric,"6,866"
2019,April,Dublin,Used Imports,Non electric,"3,928"
2019,May,Dublin,Used Imports,Non electric,"3,230"
2019,June,Dublin,Used Imports,Non electric,848
2019,July,Dublin,Used Imports,Non electric,"10,081"
2019,August,Dublin,Used Imports,Non electric,"2,506"
2019,September,Dublin,Used Imports,Non electric,"2,592"
2019,October,Dublin,Used Imports,Non electric,"2,861"
2019,January,Dublin,New Irish Registrations,Electric,318
2019,February,Dublin,New Irish Registrations,Electric,159
2019,March,Dublin,New Irish Registrations,Electric,154
2019,April,Dublin,New Irish Registrations,Electric,149
2019,May,Dublin,New Irish Registrations,Electric,74
2019,June,Dublin,New Irish Registrations,Electric,32
2019,July,Dublin,New Irish Registrations,Electric,282
2019,August,Dublin,New Irish Registrations,Electric,84
2019,September,Dublin,New Irish Registrations,Electric,66
2019,October,Dublin,New Irish Registrations,Electric,153
2019,January,Dublin,Used Imports,Electric,28
2019,February,Dublin,Used Imports,Electric,18
2019,March,Dublin,Used Imports,Electric,24
2019,April,Dublin,Used Imports,Electric,17
2019,May,Dublin,Used Imports,Electric,17
2019,June,Dublin,Used Imports,Electric,23
2019,July,Dublin,Used Imports,Electric,23
2019,August,Dublin,Used Imports,Electric,16
2019,September,Dublin,Used Imports,Electric,39
2019,October,Dublin,Used Imports,Electric,46
2019,January,Dublin,New Irish Registrations,Hybrid,957
2019,February,Dublin,New Irish Registrations,Hybrid,505
2019,March,Dublin,New Irish Registrations,Hybrid,711
2019,April,Dublin,New Irish Registrations,Hybrid,530
2019,May,Dublin,New Irish Registrations,Hybrid,331
2019,June,Dublin,New Irish Registrations,Hybrid,99
2019,July,Dublin,New Irish Registrations,Hybrid,"1,197"
2019,August,Dublin,New Irish Registrations,Hybrid,194
2019,September,Dublin,New Irish Registrations,Hybrid,139
2019,October,Dublin,New Irish Registrations,Hybrid,110
2019,May,Dublin,New Imports,Hybrid,1
2019,July,Dublin,New Imports,Hybrid,1
2019,January,Dublin,Used Imports,Hybrid,439
2019,February,Dublin,Used Imports,Hybrid,467
2019,March,Dublin,Used Imports,Hybrid,377
2019,April,Dublin,Used Imports,Hybrid,423
2019,May,Dublin,Used Imports,Hybrid,521
2019,June,Dublin,Used Imports,Hybrid,404
2019,July,Dublin,Used Imports,Hybrid,454
2019,August,Dublin,Used Imports,Hybrid,453
2019,September,Dublin,Used Imports,Hybrid,471
2019,October,Dublin,Used Imports,Hybrid,567
2019,January,Kildare,New Irish Registrations,Non electric,"1,269"
2019,February,Kildare,New Irish Registrations,Non electric,526
2019,March,Kildare,New Irish Registrations,Non electric,424
2019,April,Kildare,New Irish Registrations,Non electric,223
2019,May,Kildare,New Irish Registrations,Non electric,194
2019,June,Kildare,New Irish Registrations,Non electric,25
2019,July,Kildare,New Irish Registrations,Non electric,754
2019,August,Kildare,New Irish Registrations,Non electric,188
2019,September,Kildare,New Irish Registrations,Non electric,112
2019,October,Kildare,New Irish Registrations,Non electric,48
2019,January,Kildare,New Imports,Non electric,1
2019,May,Kildare,New Imports,Non electric,2
2019,August,Kildare,New Imports,Non electric,1
2019,January,Kildare,Used Imports,Non electric,360
2019,February,Kildare,Used Imports,Non electric,335
2019,March,Kildare,Used Imports,Non electric,356
2019,April,Kildare,Used Imports,Non electric,334
2019,May,Kildare,Used Imports,Non electric,334
2019,June,Kildare,Used Imports,Non electric,317
2019,July,Kildare,Used Imports,Non electric,410
2019,August,Kildare,Used Imports,Non electric,386
2019,September,Kildare,Used Imports,Non electric,426
2019,October,Kildare,Used Imports,Non electric,458
2019,January,Kildare,New Irish Registrations,Electric,30
2019,February,Kildare,New Irish Registrations,Electric,19
2019,March,Kildare,New Irish Registrations,Electric,21
2019,April,Kildare,New Irish Registrations,Electric,24
2019,May,Kildare,New Irish Registrations,Electric,9
2019,June,Kildare,New Irish Registrations,Electric,2
2019,July,Kildare,New Irish Registrations,Electric,39
2019,August,Kildare,New Irish Registrations,Electric,5
2019,September,Kildare,New Irish Registrations,Electric,6
2019,October,Kildare,New Irish Registrations,Electric,12
2019,January,Kildare,Used Imports,Electric,3
2019,February,Kildare,Used Imports,Electric,6
2019,March,Kildare,Used Imports,Electric,6
2019,April,Kildare,Used Imports,Electric,3
2019,May,Kildare,Used Imports,Electric,2
2019,June,Kildare,Used Imports,Electric,2
2019,July,Kildare,Used Imports,Electric,1
2019,August,Kildare,Used Imports,Electric,3
2019,September,Kildare,Used Imports,Electric,1
2019,October,Kildare,Used Imports,Electric,1
2019,January,Kildare,New Irish Registrations,Hybrid,98
2019,February,Kildare,New Irish Registrations,Hybrid,64
2019,March,Kildare,New Irish Registrations,Hybrid,66
2019,April,Kildare,New Irish Registrations,Hybrid,30
2019,May,Kildare,New Irish Registrations,Hybrid,15
2019,June,Kildare,New Irish Registrations,Hybrid,4
2019,July,Kildare,New Irish Registrations,Hybrid,153
2019,August,Kildare,New Irish Registrations,Hybrid,23
2019,September,Kildare,New Irish Registrations,Hybrid,13
2019,October,Kildare,New Irish Registrations,Hybrid,11
2019,January,Kildare,Used Imports,Hybrid,32
2019,February,Kildare,Used Imports,Hybrid,30
2019,March,Kildare,Used Imports,Hybrid,25
2019,April,Kildare,Used Imports,Hybrid,31
2019,May,Kildare,Used Imports,Hybrid,27
2019,June,Kildare,Used Imports,Hybrid,18
2019,July,Kildare,Used Imports,Hybrid,31
2019,August,Kildare,Used Imports,Hybrid,34
2019,September,Kildare,Used Imports,Hybrid,31
2019,October,Kildare,Used Imports,Hybrid,44
2019,January,Kilkenny,New Irish Registrations,Non electric,658
2019,February,Kilkenny,New Irish Registrations,Non electric,248
2019,March,Kilkenny,New Irish Registrations,Non electric,227
2019,April,Kilkenny,New Irish Registrations,Non electric,137
2019,May,Kilkenny,New Irish Registrations,Non electric,76
2019,June,Kilkenny,New Irish Registrations,Non electric,5
2019,July,Kilkenny,New Irish Registrations,Non electric,340
2019,August,Kilkenny,New Irish Registrations,Non electric,74
2019,September,Kilkenny,New Irish Registrations,Non electric,35
2019,October,Kilkenny,New Irish Registrations,Non electric,26
2019,January,Kilkenny,Used Imports,Non electric,154
2019,February,Kilkenny,Used Imports,Non electric,107
2019,March,Kilkenny,Used Imports,Non electric,115
2019,April,Kilkenny,Used Imports,Non electric,141
2019,May,Kilkenny,Used Imports,Non electric,131
2019,June,Kilkenny,Used Imports,Non electric,97
2019,July,Kilkenny,Used Imports,Non electric,125
2019,August,Kilkenny,Used Imports,Non electric,138
2019,September,Kilkenny,Used Imports,Non electric,163
2019,October,Kilkenny,Used Imports,Non electric,175
2019,January,Kilkenny,New Irish Registrations,Electric,15
2019,February,Kilkenny,New Irish Registrations,Electric,2
2019,March,Kilkenny,New Irish Registrations,Electric,3
2019,April,Kilkenny,New Irish Registrations,Electric,5
2019,May,Kilkenny,New Irish Registrations,Electric,3
2019,July,Kilkenny,New Irish Registrations,Electric,13
2019,August,Kilkenny,New Irish Registrations,Electric,6
2019,September,Kilkenny,New Irish Registrations,Electric,3
2019,October,Kilkenny,New Irish Registrations,Electric,7
2019,September,Kilkenny,Used Imports,Electric,1
2019,October,Kilkenny,Used Imports,Electric,2
2019,January,Kilkenny,New Irish Registrations,Hybrid,44
2019,February,Kilkenny,New Irish Registrations,Hybrid,17
2019,March,Kilkenny,New Irish Registrations,Hybrid,23
2019,April,Kilkenny,New Irish Registrations,Hybrid,30
